"","row","words_1970","n_1970","NA","words_1975","n_1975","NA","words_1980","n_1980","NA","words_1985","n_1985","NA","words_1990","n_1990","NA","words_1995","n_1995","NA","words_2000","n_2000","NA","words_2005","n_2005","NA","words_2010","n_2010","NA","words_2015","n_2015","NA"
"1",1,"explosive",691,0.0342979103588624,"explosive",2777,0.0909597117589256,"explosive",5110,0.081690726264128,"explosive",6680,0.0992747592438473,"explosive",5496,0.0838098723637861,"firearm",2407,0.0380090640643012,"attack",2423,0.0205114747437124,"attack",21302,0.0814418051620846,"attack",46052,0.0770930567366863,"attack",9687,0.0557531597486014
"2",2,"firearm",489,0.0242716037127116,"firearm",1155,0.0378316410088438,"firearm",4507,0.072050900836091,"firearm",5016,0.0745452383783141,"firearm",4746,0.0723729356329201,"explosive",1921,0.0303346124086093,"bomb",1536,0.0130027342989444,"motive",8591,0.0328451107007543,"responsibility",16085,0.0269269916096934,"claimed",6131,0.0352867371135207
"3",3,"bomb",445,0.0220876557303817,"incendiary",879,0.0287913527677694,"automatic",3983,0.0636740044442313,"automatic",4780,0.071037926524789,"automatic",4565,0.0696128215685377,"bomb",1161,0.0183334122885973,"civilians",1424,0.012054618256313,"specific",8391,0.0320804707123768,"claimed",15878,0.0265804645805851,"responsibility",6128,0.0352694707277206
"4",4,"united",321,0.0159328932347248,"automatic",842,0.0275794300687848,"military",1801,0.0287915847361437,"unit",1585,0.0235554630840566,"pistol",2134,0.0325418973115574,"police",1052,0.0166121875345429,"police",1287,0.0108948691684514,"responsibility",5444,0.0208135004836348,"motive",12692,0.0212469616108317,"incident",5237,0.0301413541450837
"5",5,"building",238,0.011813173177148,"pistol",458,0.015001637733377,"unit",1555,0.0248589196361485,"pistol",1500,0.0222922363571514,"incendiary",1488,0.0226908824740382,"attack",771,0.0121749017006964,"killed",1233,0.0104377417907542,"claimed",4051,0.0154877829645857,"incident",12656,0.021186696040552,"explosive",3636,0.0209268595897507
"6",6,"police",228,0.0113168213629821,"office",454,0.0148706190632165,"incendiary",807,0.0129010599012038,"military",1491,0.0221584829390084,"unit",1411,0.0215166903030026,"incendiary",540,0.00852716850632432,"incident",1054,0.00892244918690584,"explosive",3315,0.0126739078073566,"specific",12566,0.0210360321148528,"device",2960,0.0170361673227893
"7",7,"protest",224,0.0111182806373157,"police",337,0.0110383229610219,"police",792,0.012661263248765,"incendiary",1026,0.0152478896682915,"line",649,0.00989676258444272,"vehicle",504,0.0079586906059027,"specific",985,0.00833834198207045,"device",3211,0.0122762950134003,"explosive",11366,0.0190271797721961,"assailants",2782,0.0160116950986486
"8",8,"catholic",220,0.0109197399116494,"bomb",290,0.0094988535866361,"pistol",732,0.0117020766390101,"police",1007,0.0149655213411009,"office",570,0.00869207191545816,"bus",480,0.00757970533895495,"injured",800,0.00677225744736686,"civilians",3189,0.0121921846146788,"device",9875,0.0165311807364453,"killed",2558,0.0147224716255727
"9",9,"perpetrators",203,0.0100759418275674,"station",272,0.00890926957091386,"town",557,0.00890444902722491,"line",869,0.012914635596243,"station",563,0.00858532717263675,"civilians",450,0.00710597375527026,"motive",789,0.00667913890746557,"police",3151,0.0120469030168871,"killed",7029,0.0117668525971113,"detonated",2250,0.0129497893500932
"10",10,"casualties",201,0.0099766714647342,"bank",267,0.00874549623321323,"office",479,0.00765750643454351,"office",765,0.0113690405421472,"tower",515,0.00785336322186132,"army",416,0.00656907796042762,"claimed",745,0.00630666474786039,"bomb",2819,0.0107776006361805,"assailants",6865,0.0114923094436149,"city",2156,0.012408775928356
